                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7598,                 6.1633,                 3.9986,                0.58494,                0.06279,                 0.0196,                0.00489,                  2.286,                 5.1235,                 3.5761,              0.0033305,              0.0033305,              0.0033305
                      2,                 2.0076,                 4.2986,                 2.9913,                0.36844,                0.21307,                0.14712,                0.05545,                 1.7239,                 3.9623,                 2.9502,               0.006648,               0.006648,               0.006648
                      3,                 1.5967,                 3.0828,                 2.5455,                0.44103,                0.31876,                0.28791,                0.13149,                 1.4479,                 2.5074,                 2.5492,              0.0099496,              0.0099496,              0.0099496
                      4,                 1.4449,                 2.5233,                 2.3335,                0.47342,                0.42584,                0.42662,                0.24662,                 1.2476,                 1.9056,                 2.3457,              0.0099286,              0.0099286,              0.0099286
                      5,                  1.296,                 2.1396,                 2.1577,                0.54917,                0.47193,                0.46701,                0.27671,                 1.2459,                   1.73,                 2.2723,              0.0099286,              0.0099286,              0.0099286
                      6,                 1.2122,                 1.9124,                  2.061,                 0.6992,                0.48802,                 0.5481,                0.33778,                 1.1563,                 1.5624,                  2.193,              0.0099048,              0.0099048,              0.0099048
                      7,                 1.1642,                 1.7807,                 2.0101,                0.68348,                0.52462,                0.57115,                0.36232,                 1.0824,                 1.4267,                 2.1074,               0.009881,               0.009881,               0.009881
                      8,                 1.1317,                 1.6627,                 1.9698,                0.67304,                0.57505,                0.61489,                0.38538,                 1.0417,                 1.2364,                 2.0506,              0.0098572,              0.0098572,              0.0098572
                      9,                  1.102,                 1.5876,                 1.9345,                0.78385,                0.58608,                0.64182,                0.40368,                 1.0232,                 1.1881,                 2.0081,              0.0098334,              0.0098334,              0.0098334
                     10,                 1.0716,                 1.5243,                 1.8968,                0.76681,                0.59968,                0.64926,                0.40555,                 1.0134,                 1.1478,                 2.0125,              0.0098096,              0.0098096,              0.0098096
                     11,                 1.0572,                 1.4465,                 1.8725,                0.79766,                0.61109,                 0.6628,                0.42358,                 1.0012,                 1.0731,                  1.979,              0.0097858,              0.0097858,              0.0097858
                     12,                 1.0313,                 1.3909,                 1.8524,                0.79254,                 0.6139,                0.66457,                0.42747,                0.98131,                 1.0335,                 1.9594,               0.009762,               0.009762,               0.009762
                     13,                 0.9976,                 1.3219,                 1.8118,                0.81785,                0.66226,                0.70128,                0.45161,                 0.9609,                0.98438,                 1.9264,              0.0097382,              0.0097382,              0.0097382
                     14,                0.99144,                 1.2987,                 1.8003,                0.81756,                0.66989,                0.71055,                0.46316,                0.94244,                0.93628,                 1.8936,              0.0097144,              0.0097144,              0.0097144
                     15,                0.98273,                 1.2648,                 1.7991,                 0.8698,                0.66834,                0.74114,                0.48031,                0.94435,                0.90676,                 1.9017,              0.0096906,              0.0096906,              0.0096906
                     16,                0.97707,                  1.233,                 1.7918,                0.85365,                0.67953,                 0.7273,                0.46913,                0.94215,                0.92643,                 1.8939,              0.0096668,              0.0096668,              0.0096668
                     17,                  0.948,                 1.2083,                 1.7658,                0.75691,                0.76054,                0.76492,                0.49265,                0.92347,                0.87934,                 1.8756,               0.009643,               0.009643,               0.009643
                     18,                0.95732,                 1.1749,                 1.7603,                0.86076,                0.69996,                0.77598,                 0.5044,                 0.9172,                0.85652,                 1.8567,              0.0096192,              0.0096192,              0.0096192
                     19,                0.93879,                 1.1535,                 1.7521,                0.87628,                0.70707,                0.80158,                0.51868,                0.89245,                0.82606,                 1.8445,              0.0095954,              0.0095954,              0.0095954
                     20,                0.93888,                  1.141,                 1.7481,                0.85146,                0.71358,                0.79147,                0.52034,                0.89473,                0.80577,                 1.8344,              0.0095716,              0.0095716,              0.0095716
                     21,                0.92099,                 1.0898,                  1.727,                0.83822,                0.75342,                0.80405,                0.53126,                0.87503,                0.78544,                 1.8216,              0.0095478,              0.0095478,              0.0095478
                     22,                0.90982,                 1.0724,                 1.7231,                0.86645,                0.75201,                0.81192,                0.53813,                0.89506,                0.77892,                  1.835,               0.009524,               0.009524,               0.009524
                     23,                0.89138,                 1.0526,                 1.7075,                0.83899,                0.78716,                0.81461,                0.53855,                0.88108,                0.76675,                 1.8232,              0.0095002,              0.0095002,              0.0095002
                     24,                0.91516,                 1.0703,                 1.7176,                0.83552,                0.77997,                 0.8243,                0.54065,                0.88354,                   0.74,                 1.8143,              0.0094764,              0.0094764,              0.0094764
                     25,                0.89669,                 1.0378,                 1.7022,                 0.9051,                0.79418,                0.84879,                0.54959,                0.88399,                0.72216,                 1.8125,              0.0094526,              0.0094526,              0.0094526
                     26,                0.90641,                 1.0398,                 1.7112,                0.89338,                0.75088,                0.82516,                 0.5393,                0.86796,                0.72218,                 1.8008,              0.0094288,              0.0094288,              0.0094288
                     27,                0.89972,                 1.0137,                 1.6923,                0.86641,                0.80828,                0.82829,                 0.5435,                0.86125,                 0.7064,                 1.7913,               0.009405,               0.009405,               0.009405
                     28,                0.89352,                 1.0033,                 1.6979,                 0.8905,                0.74404,                0.82927,                0.55437,                0.85888,                0.69874,                 1.7871,              0.0093813,              0.0093813,              0.0093813
                     29,                0.88447,                0.98395,                 1.6873,                0.90332,                0.76181,                0.82634,                0.55796,                 0.8487,                0.68971,                  1.778,              0.0093575,              0.0093575,              0.0093575
                     30,                0.86909,                0.96337,                 1.6614,                0.89675,                0.80214,                 0.8555,                0.56401,                0.83913,                0.68661,                 1.7619,              0.0093337,              0.0093337,              0.0093337
                     31,                 0.8708,                0.96108,                  1.666,                0.90309,                0.76885,                0.84122,                0.57469,                0.84923,                0.67438,                 1.7752,              0.0093099,              0.0093099,              0.0093099
                     32,                0.86385,                0.94837,                  1.663,                0.84669,                0.81935,                0.83737,                0.56021,                0.84799,                0.66715,                  1.773,              0.0092861,              0.0092861,              0.0092861
                     33,                0.86893,                0.95011,                 1.6589,                0.87054,                0.81492,                0.84079,                0.57189,                0.84017,                0.66125,                 1.7652,              0.0092623,              0.0092623,              0.0092623
                     34,                0.85705,                0.93641,                 1.6511,                0.89202,                 0.8111,                0.84645,                0.57407,                0.84156,                0.65677,                 1.7612,              0.0092385,              0.0092385,              0.0092385
                     35,                0.85557,                0.92612,                 1.6479,                0.87372,                0.82163,                0.84578,                0.57519,                 0.8231,                0.64819,                 1.7522,              0.0092147,              0.0092147,              0.0092147
                     36,                 0.8464,                0.92377,                 1.6448,                0.89726,                0.76681,                0.84204,                0.57097,                0.82332,                0.64192,                 1.7515,              0.0091909,              0.0091909,              0.0091909
                     37,                0.85449,                0.91177,                  1.647,                 0.9234,                0.80946,                0.86972,                0.57871,                0.82131,                0.64099,                 1.7468,              0.0091671,              0.0091671,              0.0091671
                     38,                0.83946,                0.91457,                 1.6375,                0.92188,                0.81367,                0.86889,                 0.5834,                 0.8178,                0.63479,                 1.7474,              0.0091433,              0.0091433,              0.0091433
                     39,                0.84252,                0.88702,                 1.6333,                0.92649,                 0.8097,                0.86483,                0.58483,                0.82191,                0.63404,                 1.7455,              0.0091195,              0.0091195,              0.0091195
