                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7564,                 6.1779,                 3.9947,                0.51421,                0.03343,                0.00641,                0.00151,                 2.5139,                 4.9903,                 3.6822,              0.0033305,              0.0033305,              0.0033305
                      2,                 1.9884,                 4.3328,                 2.9829,                0.38428,                0.22335,                0.16049,                0.06474,                 1.6208,                 2.8873,                  2.772,               0.006648,               0.006648,               0.006648
                      3,                 1.5731,                 3.0874,                 2.5134,                0.41886,                0.34739,                0.26231,                0.11629,                 1.4475,                 2.4549,                 2.5322,              0.0099496,              0.0099496,              0.0099496
                      4,                 1.4182,                 2.5126,                 2.2927,                 0.4125,                0.38826,                0.35674,                0.19884,                 1.3678,                 2.2055,                 2.4111,              0.0099286,              0.0099286,              0.0099286
                      5,                 1.2832,                 2.1327,                 2.1353,                0.53792,                0.47726,                 0.4768,                0.28262,                 1.2094,                 1.7287,                 2.1935,              0.0099286,              0.0099286,              0.0099286
                      6,                 1.1982,                  1.892,                 2.0318,                0.65532,                0.53396,                 0.5416,                 0.3352,                 1.1208,                 1.6009,                 2.1191,              0.0099048,              0.0099048,              0.0099048
                      7,                 1.1573,                 1.7641,                 1.9881,                 0.7446,                0.50803,                0.60141,                0.37492,                 1.1128,                 1.3974,                 2.1032,               0.009881,               0.009881,               0.009881
                      8,                 1.1252,                 1.6512,                 1.9398,                0.74902,                 0.5675,                0.60063,                0.37889,                 1.0532,                 1.2645,                 1.9881,              0.0098572,              0.0098572,              0.0098572
                      9,                 1.0878,                 1.5823,                 1.9061,                0.74949,                0.60482,                0.63234,                0.40545,                 1.0375,                  1.195,                 1.9863,              0.0098334,              0.0098334,              0.0098334
                     10,                 1.0692,                 1.5125,                 1.8755,                0.80829,                0.59501,                0.65834,                0.41516,                  1.003,                 1.1279,                 1.9533,              0.0098096,              0.0098096,              0.0098096
                     11,                 1.0536,                 1.4412,                 1.8563,                0.78836,                0.61035,                0.65895,                0.42974,                0.98293,                  1.072,                 1.9321,              0.0097858,              0.0097858,              0.0097858
                     12,                 1.0238,                 1.3804,                 1.8327,                0.71846,                0.65702,                0.69833,                0.45127,                0.98314,                 1.0006,                 1.9281,               0.009762,               0.009762,               0.009762
                     13,                 0.9921,                 1.3108,                 1.7939,                0.83233,                0.65177,                0.70936,                0.46717,                0.93183,                0.98892,                 1.8857,              0.0097382,              0.0097382,              0.0097382
                     14,                0.98865,                 1.2796,                 1.7864,                0.75326,                0.66139,                0.71269,                0.46821,                0.94953,                0.95306,                 1.8783,              0.0097144,              0.0097144,              0.0097144
                     15,                 0.9835,                 1.2477,                 1.7857,                0.85308,                 0.6782,                0.73869,                0.48533,                 0.9413,                0.89451,                  1.869,              0.0096906,              0.0096906,              0.0096906
                     16,                0.96965,                 1.2312,                 1.7771,                0.80198,                0.71913,                0.74003,                0.49607,                0.92358,                 0.8908,                 1.8484,              0.0096668,              0.0096668,              0.0096668
                     17,                0.94841,                 1.1894,                 1.7448,                0.81994,                0.73699,                0.76848,                0.49412,                0.91334,                0.85503,                 1.8409,               0.009643,               0.009643,               0.009643
                     18,                0.96007,                 1.1703,                 1.7494,                0.86947,                 0.7231,                  0.778,                0.50303,                0.91839,                0.84953,                 1.8309,              0.0096192,              0.0096192,              0.0096192
                     19,                0.93774,                   1.15,                 1.7339,                0.86956,                 0.7312,                0.78834,                0.52435,                0.88821,                0.81703,                 1.8111,              0.0095954,              0.0095954,              0.0095954
                     20,                0.93387,                 1.1296,                 1.7245,                0.91275,                0.71219,                0.79254,                0.52024,                0.88714,                0.80272,                 1.7948,              0.0095716,              0.0095716,              0.0095716
